Rank,Team,Group,Make_R16,Make_QF,Make_SF,Make_Final,Win_Euros
1,France,D,1.0,1.0,0.6699,0.3379,0.2242
2,Spain,B,1.0,1.0,0.5422,0.3088,0.2179
3,Germany,A,1.0,1.0,0.4578,0.2415,0.1592
4,Netherlands,D,1.0,1.0,0.6942,0.3727,0.1381
5,England,C,1.0,1.0,0.5957,0.3344,0.1257
6,Portugal,F,1.0,1.0,0.3301,0.1118,0.0567
7,Switzerland,A,1.0,1.0,0.4043,0.188,0.0565
8,Turkey,F,1.0,1.0,0.3058,0.1049,0.0217
9,Italy,B,1.0,0.0,0.0,0.0,0.0
10,Slovenia,C,1.0,0.0,0.0,0.0,0.0
11,Denmark,C,1.0,0.0,0.0,0.0,0.0
12,Austria,D,1.0,0.0,0.0,0.0,0.0
13,Belgium,E,1.0,0.0,0.0,0.0,0.0
14,Slovakia,E,1.0,0.0,0.0,0.0,0.0
15,Romania,E,1.0,0.0,0.0,0.0,0.0
16,Georgia,F,1.0,0.0,0.0,0.0,0.0
17,Scotland,A,0.0,0.0,0.0,0.0,0.0
18,Hungary,A,0.0,0.0,0.0,0.0,0.0
19,Croatia,B,0.0,0.0,0.0,0.0,0.0
20,Albania,B,0.0,0.0,0.0,0.0,0.0
21,Serbia,C,0.0,0.0,0.0,0.0,0.0
22,Poland,D,0.0,0.0,0.0,0.0,0.0
23,Ukraine,E,0.0,0.0,0.0,0.0,0.0
24,Czechia,F,0.0,0.0,0.0,0.0,0.0
